City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
4,Atuona,PF,78.04,-9.8,-139.0333,Villa Enata
5,Beloha,MG,74.93,-25.1667,45.05,
8,Ponta Do Sol,PT,73.13,32.6667,-17.1,Hotel do Campo
11,Port Hedland,AU,82.45,-20.3167,118.5667,The Esplanade Hotel
20,Rikitea,PF,77.67,-23.1203,-134.9692,People ThankYou
25,Puerto Ayora,EC,80.56,-0.7393,-90.3518,Finch Bay Galapagos Hotel
26,Hualmay,PE,74.08,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
27,Chuy,UY,79.34,-33.6971,-53.4616,Nuevo Hotel Plaza
31,Vaini,TO,75.36,-21.2,-175.2,Keleti Beach Resort
32,Voh,NC,76.69,-20.9667,164.7,Le gîte du Koniambo
35,Faanui,PF,81.25,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
43,Corrente,BR,82.76,-3.7367,-43.3394,Chapadinhense Hotel
45,Hilo,US,72.81,19.7297,-155.09,Hilo Hawaiian Hotel
47,Pilar,BR,84.13,-9.5972,-35.9567,Pousada e churrascaria Manguaba
51,Avarua,CK,80.65,-21.2078,-159.775,Paradise Inn
57,Butaritari,KI,80.91,3.0707,172.7902,Isles Sunset Lodge
68,Puerto Escondido,MX,83.68,15.85,-97.0667,Aldea del Bazar Hotel and Spa
70,Quatre Cocos,MU,77.11,-20.2078,57.7625,Sunrise Attitude Hotel
71,Arraial Do Cabo,BR,76.96,-22.9661,-42.0278,Pousada Porto Praia
72,Sao Joao Da Barra,BR,80.69,-21.6403,-41.0511,Pousada Porto De Canoas
75,Hithadhoo,MV,81.55,-0.6,73.0833,Scoop Guest House
79,Janauba,BR,76.24,-15.8025,-43.3089,Ouro Norte Palace Hotel
81,Saint-Philippe,RE,74.79,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
82,Balabac,PH,80.28,7.9868,117.0645,Sing and Swing Lodge
91,Caravelas,BR,79.86,-17.7125,-39.2481,Pousada dos Navegantes
92,Labuhan,ID,78.53,-6.8844,112.2051,PT PPI Lamongan Tambak C
93,Kapaa,US,78.78,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
100,Sola,VU,83.1,-13.8833,167.55,Leumerus Bungalows
104,Ribeira Brava,PT,73.13,32.65,-17.0667,Hotel do Campo
106,Bara,NG,73.47,10.3744,10.7288,
109,Torres,BR,82.83,-29.3353,-49.7269,Farol Hotel
110,Pisco,PE,77.05,-13.7,-76.2167,Hotel San Isidro Oficial
113,Grand-Santi,GF,77.45,4.25,-54.3833,Hotel La Villa Couacou
120,Kavieng,PG,82.2,-2.5744,150.7967,Nusa Island Retreat
123,Mocajuba,BR,81.57,-2.5842,-49.5072,Hotel Saylon Mocajuba
135,Weligama,LK,74.73,5.9667,80.4167,Weligama Bay Resort
143,Port-Gentil,GA,78.76,-0.7193,8.7815,Fengshui Residence
144,Hervey Bay,AU,74.03,-25.2986,152.8535,Shelly Bay Resort
145,Bengkulu,ID,75.0,-3.8004,102.2655,Grage Hotel Bengkulu
146,Tabou,CI,79.74,4.423,-7.3528,hotêl doufoulougou
152,Kalutara,LK,77.09,6.5831,79.9593,Tangerine Beach Hotel
154,Poum,NC,80.83,-20.2333,164.0167,Gîte kajeon
155,Kavaratti,IN,81.23,10.5669,72.642,Hotels in Lakshadweep Islands
157,Padang,ID,76.77,-0.9492,100.3543,Mercure Padang
159,Adre,TD,72.75,13.4667,22.2,
160,Mahebourg,MU,77.29,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
162,Mar Del Plata,AR,77.02,-38.0023,-57.5575,Gran Hotel Mar del Plata
164,Grand Gaube,MU,77.4,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
166,Ternate,ID,79.83,0.8,127.4,Sahid Bela Ternate Hotel
168,Cidreira,BR,75.6,-30.1811,-50.2056,Hotel Castelo
172,Cururupu,BR,78.08,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
175,Iberia,US,82.38,29.9502,-91.7507,back to back rv park
178,Port Blair,IN,80.4,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
180,Merauke,ID,79.43,-8.4667,140.3333,
181,Carnarvon,AU,75.27,-24.8667,113.6333,Hospitality Carnarvon
185,Nouadhibou,MR,76.98,20.931,-17.0347,El Medina
187,Sechura,PE,77.5,-5.5569,-80.8222,Hospedaje Costa Bella
190,Bathsheba,BB,84.81,13.2167,-59.5167,Atlantis Hotel
197,Hambantota,LK,75.97,6.1241,81.1185,Bungalow 63
198,Cayenne,GF,82.44,4.9333,-52.3333,Hôtel Le Dronmi
200,Bambous Virieux,MU,77.25,-20.3428,57.7575,Casa Tia Villa
201,Moroni,KM,79.29,-11.7022,43.2551,Hotel les Arcades
206,Thinadhoo,MV,81.19,0.5333,72.9333,
207,Ascension,US,84.27,30.2169,-90.9001,Highland Inn
211,Latung,PH,81.27,5.5,120.8833,
215,Soyo,AO,78.6,-6.1349,12.3689,Hotel Mpampa
216,Camopi,GF,76.19,3.1655,-52.3158,La pousada
221,Georgetown,MY,80.89,5.4112,100.3354,Cititel Penang
224,Tecoanapa,MX,82.63,16.5167,-98.75,Hotel Manglares
225,Comodoro Rivadavia,AR,75.06,-45.8667,-67.5,Austral Hotel
228,Takoradi,GH,80.87,4.8845,-1.7554,Raybow International Hotel
231,Souillac,MU,77.38,-20.5167,57.5167,Shanti Maurice Resort & Spa
236,Bubaque,GW,80.44,11.2833,-15.8333,"Casa Dora, Bubaque"
242,Broken Hill,AU,76.71,-31.95,141.4333,Royal Exchange Hotel
243,Kokopo,PG,78.31,-4.352,152.2633,Kokopo Beach Bungalow Resort
244,Salalah,OM,77.09,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
249,Boyolangu,ID,75.6,-8.1181,111.8935,Yos ega cv
252,Buala,SB,79.88,-8.145,159.5921,Maringe Lagoon Lodge
253,Rawson,AR,78.94,-43.3002,-65.1023,Hosteria Sampedro
258,Port Augusta,AU,73.54,-32.5,137.7667,Majestic Oasis Apartments
262,Greenville,US,74.28,35.6127,-77.3663,the 5th Street Inn
